번호,교과과정,학수강좌번호,교과목명,학점,이론,실습,강의요일/교시,강의실,담당교원,수업캠퍼스,비고
1,공교,RGC0005-01,기술보고서작성및발표,3.0,3.0,0.0,월1.0-3.5,102-356(학술/문화관 K356 356 강의실),오명원,서울,
2,공교,RGC0005-02,기술보고서작성및발표,3.0,3.0,0.0,월1.0-3.5,501-109(학림관 J111 강의실_스마트),조미라,서울,
3,공교,RGC0005-03,기술보고서작성및발표,3.0,3.0,0.0,월5.5-8.0,102-356(학술/문화관 K356 356 강의실),전용덕,서울,
4,공교,RGC0005-04,기술보고서작성및발표,3.0,3.0,0.0,월5.5-8.0,501-415(학림관 J415 강의실),임태균,서울,
5,공교,RGC0005-05,기술보고서작성및발표,3.0,3.0,0.0,화1.0-3.5,102-221(학술/문화관 K221 221 강의실),최현경,서울,
6,공교,RGC0005-06,기술보고서작성및발표,3.0,3.0,0.0,화1.0-3.5,408-321(정보문화관Q Q301 강의실),최수진,서울,
7,공교,RGC0005-07,기술보고서작성및발표,3.0,3.0,0.0,목1.0-3.5,102-356(학술/문화관 K356 356 강의실),오명원,서울,
8,공교,RGC0005-08,기술보고서작성및발표,3.0,3.0,0.0,목1.0-3.5,408-321(정보문화관Q Q301 강의실),조미라,서울,
9,공교,RGC0005-09,기술보고서작성및발표,3.0,3.0,0.0,목5.5-8.0,501-409(학림관 J413 강의실),이재섭,서울,
10,공교,RGC0005-10,기술보고서작성및발표,3.0,3.0,0.0,목5.5-8.0,501-415(학림관 J415 강의실),전용덕,서울,
11,공교,RGC0005-11,기술보고서작성및발표,3.0,3.0,0.0,목5.5-8.0,102-356(학술/문화관 K356 356 강의실),유보영,서울,
12,공교,RGC0005-12,기술보고서작성및발표,3.0,3.0,0.0,금1.0-3.5,1102-219(종합강의동 219 강의실),전용덕,일산,BMC개설
13,전필,ARD2010-01,표현기법,3.0,0.0,6.0,화8.0-13.5,405-404(원흥관 1/3 F404 크리틱실 1),황영미,서울,수강제한 7명
14,전필,ARD2010-02,표현기법,3.0,0.0,6.0,화8.0-13.5,405-405(원흥관 1/3 F405 크리틱실 2),신윤석,서울,수강제한 7명
15,전필,ARD2010-03,표현기법,3.0,0.0,6.0,화8.0-13.5,405-406(원흥관 1/3 F406 교수연구실(공실)),백성진,서울,수강제한 7명
16,전필,ARD2022-01,건축CAD,3.0,2.0,2.0,금1.0-3.5/금4.0-4.5,405-318(원흥관 1/3 F318 (F) 공용컴퓨터실)/405-541(원흥관 1/3 E541 강의실),황연숙,서울,수강제한 40명 
17,전필,CIV2032-01,건설환경공학개론,1.0,1.0,0.0,월1.5-2.0,405-550(원흥관 1/3 E550 강의실_스마트),강주현,서울,P/F/ 팀티칭
18,전필,CSE2025-01,계산적사고법,3.0,3.0,0.0,월6.5-7.5/목8.5-9.5,401-6144(신공학관(기숙사) 6144 강의실)/401-6144(신공학관(기숙사) 6144 강의실),문봉교,서울,
19,전필,CSE2025-02,계산적사고법,3.0,3.0,0.0,월8.0-9.0/목7.0-8.0,401-6144(신공학관(기숙사) 6144 강의실)/401-6144(신공학관(기숙사) 6144 강의실),문봉교,서울,
20,전필,CSE2026-01,이산구조,3.0,3.0,0.0,화1.0-2.0/목9.0-10.0,401-5145(신공학관(기숙사) 5145 강의실)/401-5145(신공학관(기숙사) 5145 강의실),주태우,서울,
21,전필,CSE2026-02,이산구조,3.0,3.0,0.0,화9.0-10.0/목2.5-3.5,401-5145(신공학관(기숙사) 5145 강의실)/401-5145(신공학관(기숙사) 5145 강의실),주태우,서울,
22,전필,CSE2028-01,어드벤처디자인,3.0,2.0,2.0,화5.0-6.5/목5.0-6.5,405-325(원흥관 1/3 E325 원흥 PBL)/405-325(원흥관 1/3 E325 원흥 PBL),신연순,서울,
23,전필,EME2022-01,어드벤처디자인,3.0,3.0,0.0,화2.5-3.5/목2.5-3.5,405-325(원흥관 1/3 E325 원흥 PBL)/405-325(원흥관 1/3 E325 원흥 PBL),오제민,서울,수강제한 45명
24,전필,ENE2019-01,어드벤처디자인,3.0,2.0,2.0,월2.0-3.5/화2.0-3.5,310-441(중앙도서관  T-메이커실습실)/310-441(중앙도서관  T-메이커실습실),현교환,서울,P/F/수강제한 40명
25,전필,ENE2019-02,어드벤처디자인,3.0,2.0,2.0,금5.0-8.5,310-441(중앙도서관  T-메이커실습실),봉정식,서울,P/F/수강제한 40명
26,전필,INC2033-01,어드벤처디자인,3.0,2.0,2.0,월7.0-10.5,401-3163(신공학관(기숙사) 3163 정보통신공학실습실1),김은정,서울,수강제한 40명
27,전필,INC2034-01,ICT와소프트웨어,3.0,3.0,0.0,화5.0-6.0/목5.0-6.0,401-5143(신공학관(기숙사) 5143 강의실_스마트)/401-5143(신공학관(기숙사) 5143 강의실_스마트),김영부,서울,정보통신공학전공 1학년만 수강/수강제한 40명/ P/F
28,전필,INC2034-02,ICT와소프트웨어,3.0,3.0,0.0,화7.0-8.0/목7.0-8.0,401-6122(신공학관(기숙사) 6122 정보통신공학 실습실)/401-6122(신공학관(기숙사) 6122 정보통신공학 실습실),김영부,서울,정보통신공학전공 1학년만 수강/수강제한 40명/ P/F
29,전필,ISE2020-01,산업시스템공학의이해,3.0,1.0,2.0,금5.5-8.0,405-450(원흥관 1/3 E450 강의실),염세경,서울,영어강의/1학년전용/수강제한 42명
30,전필,ISE2020-02,산업시스템공학의이해,3.0,1.0,2.0,금5.5-8.0,405-127(원흥관 1/3 E127 강의실),장준호,서울,영어강의/1학년전용/수강제한 42명
31,전필,MEC2036-01,어드벤처디자인,3.0,3.0,0.0,월6.5-7.5/화6.5-7.5,405-639(원흥관 1/3 E639 특화설계실)/405-639(원흥관 1/3 E639 특화설계실),이재훈,서울,영어강의/수강제한40명
32,전필,MEC2036-02,어드벤처디자인,3.0,3.0,0.0,월6.5-7.5/화6.5-7.5,310-441(중앙도서관  T-메이커실습실)/310-441(중앙도서관  T-메이커실습실),한민우,서울,영어강의/수강제한40명
33,전필,MME2051-01,자율사물기초프로그래밍,3.0,3.0,0.0,월5.5-6.5/월7.0-8.0/수5.5-6.5/수7.0-8.0,401-4105(신공학관(기숙사) 4105 멀티미디어공학과 실습실)/401-4105(신공학관(기숙사) 4105 멀티미디어공학과 실습실)/401-4105(신공학관(기숙사) 4105 멀티미디어공학과 실습실)/401-4105(신공학관(기숙사) 4105 멀티미디어공학과 실습실),성연식,서울,영어강의/ 집중이수제(Term1)/수강제한 39명
34,전공,ARD2013-01,건축과사회,3.0,3.0,0.0,월2.0-3.0/금5.0-6.0,405-543(원흥관 1/3 E543 건축학과 세미나실)/405-543(원흥관 1/3 E543 건축학과 세미나실),이명식,서울,영어강의
35,전공,ARD2014-01,건축설계기초A,3.0,0.0,6.0,목8.0-13.5,405-404(원흥관 1/3 F404 크리틱실 1),백용운,서울,수강제한 7명
36,전공,ARD2014-02,건축설계기초A,3.0,0.0,6.0,목8.0-13.5,405-405(원흥관 1/3 F405 크리틱실 2),서상하,서울,수강제한 7명
37,전공,ARD2014-03,건축설계기초A,3.0,0.0,6.0,목8.0-13.5,405-406(원흥관 1/3 F406 교수연구실(공실)),김일석,서울,수강제한 7명
38,전공,ARD2017-01,건축기술1,3.0,3.0,0.0,수7.0-9.5,405-550(원흥관 1/3 E550 강의실_스마트),윤홍연,서울,
39,전공,CIV2005-01,응용역학,3.0,3.0,0.0,화2.0-3.0/금2.0-3.0,405-550(원흥관 1/3 E550 강의실_스마트)/405-550(원흥관 1/3 E550 강의실_스마트),이지호,서울,영어강의
40,전공,CIV2009-01,물과환경,3.0,3.0,0.0,화5.0-6.0/목5.0-6.0,405-550(원흥관 1/3 E550 강의실_스마트)/405-550(원흥관 1/3 E550 강의실_스마트),이상일,서울,
41,전공,CIV2031-01,환경화학,3.0,3.0,0.0,월2.5-3.5/수2.5-3.5,405-512(원흥관 1/3 F512 구조공학 실습실)/405-512(원흥관 1/3 F512 구조공학 실습실),강주현,서울,영어강의
42,전공,CSE2017-01,자료구조와실습,3.0,2.0,2.0,화2.0-3.5/수5.0-6.5,401-6144(신공학관(기숙사) 6144 강의실)/401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4)),최은만,서울,영어강의/수강인원 40명 제한
